==== DP MATRIX ==== 
DIM: 16,15

	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	
13 M	-inf	-5.161	-4.665	-4.944	-3.480	-5.011	-5.122	-5.166	-5.316	-5.011	-3.560	-4.667	-3.706	3.878	-1.392	-1.485	
13 I	-inf	-11.328	-9.888	-9.730	-12.103	-10.564	-9.881	-6.800	-7.187	-6.348	-5.763	-2.087	1.039	-7.276	-7.899	-inf	
13 D	-inf	-inf	-10.073	-9.577	-9.856	-8.392	-9.348	-10.034	-10.078	-10.228	-9.924	-8.472	-9.427	-8.618	-1.034	-1.989	

14 M	-inf	-3.905	-4.786	-4.372	-4.996	-1.032	-4.265	-3.909	-4.821	-1.348	-4.742	-4.552	-2.981	0.487	6.326	-2.632	
14 I	-inf	-9.351	-8.855	-9.134	-7.670	-9.201	-9.312	-7.573	-7.959	-7.120	-6.536	-2.859	0.266	-0.312	-5.582	-inf	
14 D	-inf	-inf	-8.817	-9.698	-9.284	-9.908	-5.945	-6.900	-7.855	-8.810	-6.260	-7.215	-8.170	-7.893	-4.425	1.414	

15 M	-inf	-4.093	-1.845	-3.878	-2.755	-3.824	-1.389	-4.098	-4.181	-3.824	-1.536	-1.847	-4.399	-1.832	-0.668	8.922	
15 I	-inf	-8.095	-8.976	-8.562	-8.443	-5.222	-8.455	-8.099	-8.732	-5.538	-7.308	-3.632	-0.506	-1.084	2.136	-inf	
15 D	-inf	-inf	-9.005	-6.757	-7.712	-7.667	-8.622	-6.301	-7.256	-8.211	-8.737	-6.448	-6.759	-7.714	-6.744	-5.580	

16 M	-inf	-1.497	0.752	-1.282	-0.158	-1.228	-0.429	-1.501	-1.585	-1.228	-0.260	0.750	-1.803	-1.574	-1.228	4.136	
16 I	-inf	-8.283	-6.035	-8.068	-6.944	-5.995	-5.579	-8.287	-8.371	-6.310	-5.726	-4.405	-1.279	-1.857	1.363	-inf	
16 D	-inf	-inf	-6.409	-4.161	-5.116	-5.070	-6.025	-5.341	-6.296	-6.497	-6.140	-5.173	-4.162	-5.118	-6.073	-6.140	

=== SPECIAL STATES ===
N:	0.000	-0.030	-0.059	-0.089	-0.118	-0.148	-0.177	-0.207	-0.236	-0.266	-0.296	-0.325	-0.355	-0.384	-0.414	-0.443	-0.473	
J:	-inf	-6.398	-6.428	-6.458	-6.487	-4.883	-1.749	0.559	0.530	0.500	0.470	2.182	4.536	4.506	5.633	8.229	8.200	
E:	-inf	-5.705	-8.045	-8.615	-6.637	-4.189	-1.056	1.252	0.093	0.160	-0.028	2.876	5.229	3.878	6.326	8.922	4.136	
C:	-inf	-6.398	-6.428	-6.458	-6.487	-4.883	-1.749	0.559	0.530	0.500	0.470	2.182	4.536	4.506	5.633	8.229	8.200	
B:	-3.536	-3.566	-3.595	-3.625	-3.654	-3.684	-3.713	-2.977	-3.007	-3.036	-3.066	-1.354	0.999	0.970	2.097	4.693	4.663	
