[0] x: 16	 y: (3, 4)
[115] x: 100	 y: (51, 76)
[116] x: 101	 y: (28, 29)
[117] x: 101	 y: (51, 77)
[118] x: 102	 y: (51, 52)
[119] x: 102	 y: (53, 76)
[120] x: 103	 y: (53, 76)
[121] x: 104	 y: (53, 78)
[122] x: 105	 y: (55, 77)
[123] x: 105	 y: (78, 79)
[124] x: 106	 y: (56, 80)
[125] x: 106	 y: (81, 82)
[126] x: 107	 y: (56, 82)
[127] x: 108	 y: (59, 82)
[128] x: 109	 y: (59, 83)
[129] x: 109	 y: (84, 85)
[130] x: 110	 y: (59, 87)
[131] x: 111	 y: (59, 87)
[132] x: 112	 y: (59, 87)
[133] x: 113	 y: (59, 88)
[134] x: 114	 y: (59, 71)
[135] x: 114	 y: (73, 88)
[136] x: 115	 y: (59, 70)
[137] x: 115	 y: (74, 90)
[138] x: 116	 y: (59, 69)
[139] x: 116	 y: (74, 89)
[140] x: 117	 y: (59, 68)
[141] x: 117	 y: (74, 90)
[142] x: 118	 y: (59, 67)
[143] x: 118	 y: (74, 91)
[144] x: 119	 y: (59, 66)
[145] x: 119	 y: (74, 93)
[146] x: 119	 y: (94, 95)
[147] x: 120	 y: (59, 65)
[148] x: 120	 y: (75, 95)
[149] x: 121	 y: (59, 64)
[150] x: 121	 y: (75, 95)
[151] x: 122	 y: (59, 63)
[152] x: 122	 y: (77, 95)
[153] x: 123	 y: (59, 62)
[154] x: 123	 y: (81, 95)
[155] x: 124	 y: (59, 61)
[156] x: 124	 y: (81, 95)
[157] x: 125	 y: (59, 60)
[158] x: 125	 y: (81, 95)
[159] x: 126	 y: (81, 97)
[160] x: 127	 y: (81, 99)
[161] x: 128	 y: (81, 83)
[162] x: 128	 y: (85, 100)
[163] x: 129	 y: (81, 82)
[164] x: 129	 y: (84, 101)
[165] x: 130	 y: (85, 102)
[166] x: 131	 y: (91, 103)
[167] x: 132	 y: (93, 105)
[168] x: 133	 y: (94, 107)
[169] x: 134	 y: (94, 112)
[170] x: 135	 y: (94, 113)
[171] x: 136	 y: (95, 114)
[172] x: 137	 y: (96, 115)
[173] x: 138	 y: (97, 116)
[174] x: 139	 y: (98, 115)
[175] x: 140	 y: (99, 116)
[176] x: 141	 y: (102, 117)
[177] x: 142	 y: (102, 119)
[178] x: 143	 y: (103, 122)
[179] x: 144	 y: (103, 122)
[180] x: 145	 y: (103, 123)
[181] x: 146	 y: (103, 123)
[182] x: 147	 y: (103, 124)
[183] x: 148	 y: (103, 125)
[184] x: 149	 y: (103, 126)
[185] x: 150	 y: (103, 128)
[186] x: 151	 y: (103, 127)
[187] x: 152	 y: (103, 129)
[188] x: 153	 y: (103, 131)
[189] x: 154	 y: (103, 132)
[190] x: 155	 y: (103, 133)
[191] x: 156	 y: (103, 134)
[192] x: 157	 y: (103, 133)
[193] x: 158	 y: (103, 134)
[194] x: 159	 y: (103, 135)
[195] x: 160	 y: (103, 137)
[196] x: 161	 y: (103, 138)
[197] x: 162	 y: (103, 139)
[198] x: 163	 y: (103, 140)
[199] x: 164	 y: (103, 141)
[200] x: 165	 y: (103, 140)
[201] x: 166	 y: (103, 140)
[202] x: 167	 y: (103, 140)
[203] x: 168	 y: (103, 142)
[204] x: 169	 y: (103, 108)
[205] x: 169	 y: (109, 143)
[206] x: 170	 y: (103, 107)
[207] x: 170	 y: (109, 145)
[208] x: 171	 y: (103, 106)
[209] x: 171	 y: (109, 147)
[210] x: 172	 y: (103, 105)
[211] x: 172	 y: (109, 111)
[212] x: 172	 y: (112, 148)
[213] x: 173	 y: (103, 104)
[214] x: 173	 y: (109, 110)
[215] x: 173	 y: (113, 149)
[216] x: 174	 y: (114, 151)
[217] x: 175	 y: (115, 119)
[218] x: 175	 y: (120, 151)
[219] x: 176	 y: (116, 118)
[220] x: 176	 y: (120, 151)
[221] x: 177	 y: (120, 152)
[222] x: 178	 y: (122, 123)
[223] x: 178	 y: (125, 153)
[224] x: 179	 y: (125, 155)
[225] x: 180	 y: (125, 156)
[226] x: 181	 y: (125, 156)
[227] x: 182	 y: (125, 157)
[228] x: 183	 y: (125, 159)
[229] x: 184	 y: (125, 160)
[230] x: 185	 y: (125, 161)
[231] x: 186	 y: (125, 161)
[232] x: 187	 y: (125, 160)
[233] x: 188	 y: (125, 159)
[234] x: 189	 y: (125, 158)
[235] x: 190	 y: (125, 157)
[236] x: 191	 y: (125, 156)
[237] x: 192	 y: (125, 155)
[238] x: 193	 y: (125, 156)
[239] x: 194	 y: (125, 157)
[240] x: 195	 y: (125, 135)
[241] x: 195	 y: (136, 158)
[242] x: 196	 y: (125, 134)
[243] x: 196	 y: (136, 158)
[244] x: 197	 y: (125, 133)
[245] x: 197	 y: (136, 158)
[246] x: 198	 y: (125, 132)
[247] x: 198	 y: (136, 157)
[248] x: 199	 y: (125, 131)
[249] x: 199	 y: (136, 158)
[250] x: 200	 y: (125, 130)
[251] x: 200	 y: (136, 158)
[252] x: 201	 y: (125, 129)
[253] x: 201	 y: (136, 157)
[254] x: 202	 y: (125, 128)
[255] x: 202	 y: (136, 157)
[256] x: 203	 y: (125, 127)
[257] x: 203	 y: (136, 157)
[258] x: 204	 y: (125, 126)
[259] x: 204	 y: (136, 144)
[260] x: 204	 y: (145, 159)
[261] x: 205	 y: (136, 143)
[262] x: 205	 y: (145, 158)
[263] x: 206	 y: (136, 141)
[264] x: 206	 y: (145, 157)
[265] x: 207	 y: (136, 140)
[266] x: 207	 y: (145, 156)
[267] x: 208	 y: (136, 139)
[268] x: 208	 y: (145, 156)
[269] x: 209	 y: (136, 138)
[270] x: 209	 y: (145, 157)
[271] x: 210	 y: (136, 137)
[272] x: 210	 y: (145, 158)
[273] x: 211	 y: (145, 159)
[274] x: 212	 y: (145, 160)
[275] x: 213	 y: (145, 146)
[276] x: 213	 y: (147, 161)
[277] x: 214	 y: (147, 160)
[278] x: 215	 y: (147, 160)
[279] x: 216	 y: (147, 159)
[280] x: 217	 y: (147, 158)
[281] x: 218	 y: (147, 157)
[282] x: 219	 y: (147, 156)
[283] x: 220	 y: (147, 155)
[284] x: 221	 y: (147, 154)
[285] x: 222	 y: (147, 153)
[286] x: 223	 y: (147, 153)
[287] x: 224	 y: (147, 152)
[288] x: 225	 y: (147, 150)
[289] x: 226	 y: (147, 149)
[290] x: 227	 y: (147, 148)
